Aal ALE 
Magnete lodestones 
Magnetismus magnetism 
Mahl dinner 
Mahlzeit meal 
Mahlzeiten meals 
Mai May 
Maibaeume maypoles 
Maibaum maypole 
Mais CORN 
Majestaet majesty 
Makaroni macaroni 
Makler broker 
Makrele MACKEREL 
Makrelen mackerels 
Makro macro 
Makrone macaroon 
Makronen macaroons 
Maler Painter 
Malz malt 
Manager Manager 
Mandarine tangerine 
Mandarinen TANGERINES 
Mandat mandate 
Mandate mandates 
Mandel tonsil 
Mandelentzuendung quinsy 
Mandelentzuendungen quinsies 
Mandeln tonsils 
Mangel deficiency 
Manipulation manipulation 
Manipulationen manipulations 
Mann man 
Mannschaft team 
Mannschaften teams 
Mannschaftsfuehrer teamster 
Manschette sleeve 
Manschetten wristbands 
Mantel CLOAK 
Manual manual 
Manuale manuals 
Marder marten 
Mark marrow 
Marke marker 
Markiert Tagged 
Markierung Indentation 
Markierungen INDENTATIONS 
Markt market 
Marktplatz marketplace 
Marktschreier mountebank 
Marmelade jam 
Marmor marble 
Marsch march 
Masche mesh 
Maschen meshes 
Maschine engine 
Maschinen Machines 
Maschinenbau Engineering 
Maschinerien machineries 
Masern measles 
Maske mask 
Masken masks 
Maskerade masquerade 
Maskeraden masquerades 
Maskierend masking 
Maskottchen mascot 
Mass gauge 
Masse Metrics 
Masseinheit measurement 
Massen bulks 
Massiv massif 
Massive massifs 
Massnahme sanction 
Massnahmen sanctions 
Mast mast 
Masten masts 
Material Material 
Materialien materials 
Mathematiker mathematician 
Matratze mattress 
Matratzen mattresses 
Matrix matrix 
Matrose sailor 
Matsch sludge 
Matte mat 
Matten mats 
Mattigkeit languor 
Mauer wall 
Mauer- mural 
Maultier mule 
Maultiere mules 
Maulwurfshuegel molehill 
Maurer BRICKLAYER 
Maus mouse 
Maxima maximums 
Maximum maximum 
Mechaniker mechanic 
Mechanismus mechanism 
Medaillon locket 
Medaillons lockets 
Medizin medicine 
Meer sea 
Meere oceans 
Meeresfruechte SEAFOOD 
Megabyte megabyte 
Mehl flour 
Mehltau mildew 
Mehrheit majority 
Mehrheiten majorities 
Mehrzahl plural 
Meile mile 
Meilen miles 
Meilenstein cornerstone 
Meilensteine milestones 
Meineid perjury 
Meineide perjuries 
Meinung opinion 
Meinungen opinions 
Meise titmouse 
Meisen titmice 
Meissel CHISEL 
Meisterschaft championship 
Meisterschaften championships 
Meisterstueck masterpiece 
Meisterstuecke masterpieces 
Meldung message 
Meldungen messages 
Melodie melody 
Melodien melodies 
Melone MELON 
Melonen melons 
Menge crowd 
Mengen crowds 
Menschenfeind misanthrope 
Menschenfeinde misanthropes 
Menschenfresser ogre 
Menschenfreund philanthropist 
Menschheit mankind 
Menschlichkeit humanity 
Mentalitaet mentality 
Mentalitaeten mentalities 
Menue menu 
Menues menus 
Menuett minuet 
Menuette minuets 
Meridian meridian 
Merkmale tees 
Messer knife 
Messgeraet gauge 
Messing brass 
Messstab dipstick 
Messungen measurements 
Metall metal 
Metalle metals 
Metallueberzug plating 
Metapher metaphor 
Metaphern metaphors 
Meteor meteor 
Meteore meteors 
Meter meter 
Methode method 
Methoden methods 
Metzger butcher 
Meuterei mutiny 
Meutereien mutinies 
Meuterer mutineer 
Micro- Micro 
Microsekunde microsecond 
Microvolt microvolt 
Miene air 
Mienen miens 
Miete lease 
Mieter lodger 
Mietshaus tenement 
Mietwohnung flat 
Mikrocomputer Microcomputers 
Mikrofon microphone 
Mikrofone microphones 
Mikroprozessor microprocessor 
Mikrosekunden microseconds 
Mikroskop microscope 
Mikroskope microscopes 
Milch milk 
Milchmaenner milkmen 
Milchmann milkman 
Milde clemency 
Milliarde billions 
Millimeter millimeter 
Millionaer millionaire 
Millionaere millionaires 
Millisekunden milliseconds 
Minderheit minority 
Minderheiten minorities 
Minderjaehriger minor 
Minderjaehrigkeit nonage 
Minderwertigkeit inferiority 
Minderwertigkeiten inferiorities 
Mineral mineral 
Mineralwasser minerals 
Minimum minimum 
Ministerien ministries 
Ministerium ministry 
Minnesaenger minstrels 
Minute minute 
Minuten minutes 
Minze mint 
Mischling hybrid 
Mischlinge mongrels 
Mischmasch hotpotch 
Mischung mixture 
Missbilligung disapprobation 
Missbilligungen disapprovals 
Missbrauch misusage 
Misserfolg failure 
Missfallen disfavor 
Missgeschick misadventure 
Misslingen miscarriage 
Missstaende nuisances 
Missstand nuisance 
Mist muck 
Mistel mistletoe 
Misteln mistletoes 
Mistgabel muckrake 
Mistgabeln muckrakes 
Miterbe coheir 
Miterben coheirs 
Mitesser blackhead 
Mitgefuehl sympathy 
Mitglied Member 
Mitgliedschaft Membership 
Mitgliedschaften memberships 
Mitleid charity 
Mitleit pity 
Mitschueler schoolfellow 
Mitschuld complicity 
Mittag midday 
Mittage noons 
Mittagessen lunch 
Mitte centre 
Mittel means 
Mittel- medial 
Mittelmeer- mediterranean 
Mittelsmaenner middlemen 
Mittelsmann middleman 
Mitten middles 
Mitternacht midnight 
Mittwoch Wednesday 
Mitwirkung concurrence 
Mixer blender 
Mode fashion 
Modell model 
Modelle models 
Modem modem 
Modems modems 
Modistin milliner 
Modistinnen milliners 
Module module 
Modus mode 
Moebel furniture 
Moeglichkeit possibility 
Moehre carrot 
Moehren CARROTS 
Moench friar 
Moenche friars 
Moepse pugs 
Moerder assassin 
Moerderin murderess 
Moertel mortar 
Moewe gull 
Moewen gulls 
Molkerei dairy 
Moment instant 
Momente moments 
Monat month 
Monate monthes 
Mond moon 
Mond- lunar 
Monde moons 
Mondlicht moonlight 
Monitor monitor 
Monitore Monitors 
Monsun monsoon 
Montag Monday 
Montage assembly 
Montagen fittings 
Monteur fitter 
Moor fen 
Moore fens 
Moos moss 
Mop mop 
Mops pug 
Morast morass 
Mord murder 
Morgen acre 
Morgendaemmerung dawn 
Morgenemfang levee 
Morgenempfaenge levees 
Morphium morphia 
Morse Morse 
Mosaik mosaic 
Mosaiken mosaics 
Moschee mosque 
Moscheen mosques 
Moschus musk 
Moskito mosquito 
Moskitos mosquitos 
Motiv motif 
Motor motor 
Motorhaube bonnet 
Motorradfahrer motorcyclist 
Motte moth 
Motten mothes 
Muecke gnat 
Muecken gnats 
Muede Tired 
Muedigkeit weariness 
Muedigkeiten wearinesses 
Muehe trouble 
Muehle mill 
Muehlen mills 
Muehlstein millstone 
Muehlsteine millstones 
Mueller miller 
Muender mouthes 
Muendung orifice 
Muendungen orifices 
Muenze coin 
Muenzen coins 
Muetter mothers 
Muetze cap 
Muff muff 
Mull mull 
Multicolor multicolor 
Multifrequenz multifrequency 
Multiplikation multiplication 
Mund mouth 
Mundart idiom 
Mundstueck mouthpiece 
Munition munitions 
Mus mush 
Muschel mussel 
Muscheln SCALLOPS 
Museen museums 
Museum museum 
Musik music 
Musikpavillon bandstand 
Muskatnuesse nutmegs 
Muskatnuss nutmeg 
Muskel muscle 
Muskeln muscles 
Musse leisure 
Muster SAMPLE 
Mut audacity 
Mutlosigkeit CHILL 
Mutter mother 
Mutterschaft maternity 
Muttersprache mother-tongue 
Myrrhe myrrh 
Mythen myths 
Mythos myth 
Nabe hub 
Nabel navel 
Nachahmung imitation 
Nachahmungen imitations 
Nachbar neighbor 
Nachbarn neighbors 
Nachbarschaft neighborhood 
Nachbarschaften vicinities 
Nachbildung emulation 
Nachdruck emphasis 
Nacherwaermung reheat 
Nachforschung search 
Nachkomme descendant 
Nachkommen descendants 
Nachlaessigkeit negligence 
Nachlaessigkeiten negligences 
Nachlass bequest 
Nachmittag afternoon 
Nachname surname 
Nachnamen surnames 
Nachricht news 
Nachrichten newscast 
Nachsicht charities 
Nacht night 
Nachteil disadvantage 
Nachteile disadvantages 
Nachteinbruch nightfall 
Nachthemd nighties 
Nachtigall nightingale 
Nachtigallen nightingales 
Nachtisch dessert 
Nachtmuetze nightcap 
Nachtmuetzen nightcaps 
Nachtwache vigil 
Nachtwachen vigils 
Nachwirkung aftermath 
Nachwirkungen aftermathes 
Nachwort epilogue 
Nacken neck 
Nacktheit nakedness 
Nadel needle 
Nadelbaeume conifers 
Nadelbaum conifer 
Nadeln needles 
Naechte nights 
Naegel nails 
Naehe nearness 
Naeherin seamstress 
Naeherinnen seamstresses 
Naehmaschine sewing-machine 
Naehrmittel nutriments 
Nagel nail 
Nagetiere rodents 
Nahrung nourishment 
Naht seam 
Name name 
Namen Names 
Namensvetter namesake 
Namensvettern namesakes 
Narbe scar 
Narben scars 
Narkose narcosis 
Narr fool 
Narzisse daffodil 
Narzissen daffodils 
Nase nose 
Nasen noses 
Nasenloch nostril 
Nasenloecher nostrils 
Nasenstueber fillip 
Nation nation 
Nationalitaet nationality 
Nationalitaeten nationalities 
Natter viper 
Nattern vipers 
Natuerlichkeit naturalness 
Natuerlichkeiten naturalnesses 
Natur nature 
Naturalist naturalist 
Naturalisten naturalists 
Navigation navigation 
Nebel fog 
Neben Beneath 
Neben- auxiliary 
Nebeneinkuenfte perquisites 
Nebengebaeude outbuilding 
Nebenhandlung underplot 
Nebenhandlungen underplots 
Neffe nephew 
Neffen nephews 
Neger blackamoors 
Negerin negress 
Negerinnen negresses 
Neid envy 
Neigung aptitude 
Neigungen aptitudes 
Neopren neoprene 
Nerv nerve 
Nervositaet flurry 
Nervositaeten nervousnesses 
Nerz mink 
Nerze minks 
Nessel nettle 
Nesseln nettles 
Nest nest 
Nettigkeit neatness 
Netz net 
Netze nets 
Netzwerke Networks 
Neuanpassung readjustment 
Neuanpassungen readjustments 
Neubooten rebooting 
Neudefinition redefinition 
Neuerung denouement 
Neuerungen Innovations 
Neugierde curiosity 
Neuheit novelty 
Neuheiten novelties 
Neuigkeiten news 
Neuinstallation reinstalling 
Neuling greenhorn 
Neulinge novices 
Neurose neurosis 
Neutralitaet neutrality 
Neutrum neuter 
Nichtachtung disrespect 
Nichte niece 
Nichten nieces 
Nichtigkeit nullity 
Nichtigkeiten nullities 
Nichtraucher nonsmoker 
Nichtsein nonentities 
Nichtssein nonentity 
Nickel nickel 
Niederlage defeat 
Niederlagen discomfitures 
Nippel nipple 
Nische alcove 
Nischen alcoves 
Niveau level 
Nixe mermaid 
Nixen mermaids 
Nocken cam 
Nockenwelle camshaft 
Noete hardships 
Nonnenkloster nunneries 
Nord North 
Norden north 
Not hardship 
Not- emergency 
Notar notary 
Notare notaries 
Notbefelf makeshift 
Notbehelfe makeshifts 
Notizblaetter Notepads 
Notizblatt Notepad 
Notizbuch note-book 
Notizbuecher notebooks 
Notizen notices 
Notizpapier notepaper 
Notlager shakedown 
Notwendigkeit necessary 
Notwendigkeiten necessities 
November November 
Nudel noodle 
Nudeln noodles 
Nuechternheit soberness 
Nuesse nuts 
Nuetzlichkeit usefulness 
Null NULL 
Nullast no-load 
Nummer number 
Nummerierung numeration 
Nummerierungen numerations 
Nummern numbers 
Nuss nut 
Nussknacker nutcracker 
Nussschale nutshell 
Nussschalen nutshells 
Nut groove 
Nutte slut 
Nutten sluts 
Nutzanwendungen utilizations 
Nutzbarkeit usability 
Nutzbarmachung utilization 
Nutzen profit 
Nutzlast payload 
O-Ring O-seal 
OK okay 
OTL OTL 
Oase oasis 
Oasen oases 
Oberbegriff genus 
Oberfaechen surfaces 
Oberflaeche surface 
Obergrenze ceiling 
Oberleitungsfahrzeug trolleys 
Oberlicht skylight 
Oberteil entablature 
Objekte objects 
Obligation bond 
Obst fruit 
Obstgarten orchard 
Obstkuchen FRUITCAKES 
Ochse bullock 
Ochsen oxen 
Ochsenschwanz OXTAIL 
Oefen ovens 
Oeffner OPENER 
Oeffnung aperture 
Oeffnungen apertures 
Oel oil 
Oelkanal oilway 
Oertlichkeit locality 
Oertlichkeiten localities 
Ofen oven 
Offenbarung disclosure 
Offenbarungen revelations 
Offenheit frankness 
Oh, ohm 
Ohantome phantoms 
Ohm ohms 
Ohnmacht swoon 
Ohr ear 
Oktober OCT 
Olive olive 
Oliven olives 
Oma granny 
Onkel uncle 
Oper opera 
Operand operand 
Operanden operands 
Opern operas 
Opfer sacrifice 
Optiker optician 
Optimierer Optimizer 
Optimierung optimization 
Optimierungen optimizations 
Optimismus optimism 
Optimum optimum 
Optional Optionally 
Optionen options 
Orange orange 
Orchidee orchid 
Orden medal 
Ordner formatters 
Ordnungs- ordinal 
Organisation organization 
Organisationen Organizations 
Orgel organ 
Orgeln organs 
Orgie orgy 
Orgien orgies 
Orientierung orientation 
Originalitaet originality 
Ort place 
Osten east 
Ostern Easter 
Oszilator oscillator 
Otter otter 
Ottern otters 
Ovale ovals 
Overlay overlay 
Oxydation oxidation 
Ozean ocean 
Ozon ozone 
PGDN PgDn 
PGUP PgUp 
Paar couple 
Paare Pairs 
Pachtzins rent 
Packend Packing 
Packer packer 
Packungen packages 
Paddelboot canoe 
Paddelboote canoes 
Paechter tenant 
Paesse passports 
Paket parcel 
Pakete packets 
Palette Pallete 
Paletten palettes 
Pampelmuse GRAPEFRUIT 
Panne break-down 
Panther Panther 
Pantoffel clog 
Pantoffeln clogs 
Papagei parrot 
Papageien parrots 
Papier paper 
Papiere papers 
Papierstau jam 
Pappa dad 
Pappe pasteboard 
Paradies paradise 
Paradiese paradises 
Paragraphen paragraphs 
Parameter parameter 
Parfuem perfume 
Parfuems perfumes 
Paritaet parity 
Park park 
Partie PARTY 
Partner mate 
Partnerschaft partnership 
Pascal pascal 
Pass passport 
Passage passage 
Passagen passages 
Passagier passenger 
Passagiere passengers 
Passfeder key 
Passstueck adaptor 
Passung fit 
Passwoerter passwords 
Passwort password 
Pasten pastes 
Pasteten PASTRIES 
Patenkind godchild 
Patentloesungen nostrums 
Patin godmother 
Patrone cartridge 
Pause pause 
Pausen recesses 
Pavian baboon 
Paviane baboons 
Peitsche lash 
Pelikan pelican 
Pelikane pelicans 
Pelz fur 
Pelze furs 
Pelzjaeger trapper 
Pensionaer pensionary 
Pensionaere pensionaries 
Perforation perforation 
Perforationen perforations 
Pergament parchment 
Periode period 
Perioden Cycles 
Periodisch Periodically 
Periskop PERISCOPE 
Perle bead 
Perlen beads 
Perlmutt nacre 
Peroenlichkeiten identities 
Persoenlichkeit personality 
Persoenlichkeiten personalities 
Person person 
Personal staff 
Personen persons 
Perspektiven perspectives 
Peruecke periwig 
Peruecken periwigs 
Perversitaet perversity 
Petersilie parsley 
Pfad path 
Pfade Paths 
Pfadfinder SCOUT 
Pfadname pathname 
Pfadnamen pathnames 
Pfand mortgage 
Pfanne pan 
Pfannen pans 
Pfannkuchen PANCAKES 
Pfarrer parson 
Pfeffer pepper 
Pfefferminz peppermint 
Pfeglinge nurselings 
Pfeifer piper 
Pfeil Arrow 
Pfeile arrows 
Pfennig penny 
Pferd Horse 
Pferde horses 
Pfingsten pentecost 
Pfirsich peach 
Pfirsiche PEACHES 
Pflanze plant 
Pflanzung plantation 
Pflanzungen plantations 
Pflaster plaster 
Pflaume plum 
Pflaumen PLUMS 
Pflaumenmus plum-jam 
Pflege nurture 
Pfleglinge nurslings 
Pflicht duty 
Pflichten duties 
Pflug plough 
Pfoertner ushers 
Pfote paw 
Pfoten paws 
Pfuetze puddle 
Pfuetzen puddles 
Pfund pound 
Phantasie fancy 
Phantasien fancies 
Phantasten visionaries 
Phantom Phantom 
Phase phase 
Phasen phases 
Philosophie Philosophy 
Philosophien philosophies 
Phosphor phosphor 
Photo photo 
Photograf photograph 
Photografien photos 
Photokopie photocopy 
Phrasen phrases 
Physik physics 
Physiker physicist 
Pica Pica 
Picnic PICNIC 
Pilger pilgrim 
Pille pill 
Pillen pills 
Pilot pilot 
Piloten pilots 
Pilz mushroom 
Pinguin penguin 
Pinguine penguins 
Pins pins 
Pinzette tweezers 
Pirat Pirate 
Pistole pistol 
Pistolen pistols 
Pistolentasche holster 
Pistolentaschen holsters 
Pixel pixel 
Plaetzchen COOKIES 
Plaetze Sites 
Plakat poster 
Plan blueprint 
Planer Planner 
Platin platinum 
Platte plate 
Platten platters 
Platz place 
Platzanweiserin usherette 
Platzierung placement 
Plauderei confabulation 
Plaudertasche chatterbox 
Plexiglas perspex 
Plotter Plotters 
Pluederung pillage 
Pluenderung depredation 
Pluenderungen depredations 
Pluesch plush 
Pocken smallpox 
Poebel mob 
Poet poet 
Pokal goblet 
Pokale goblets 
Politik politics 
Politur polish 
Polizei police 
Polizist bobby 
Polizisten bobbies 
Portier janitor 
Portiers janitors 
Portion serving 
Portionen servings 
Porto postage 
Portrait portrait 
Portraits portraits 
Ports ports 
Porzellan porcelain 
Posaune trombone 
Posaunen trombones 
Position position 
Positionen positions 
Post Mailing 
Poster poster 
Postkarte postcard 
Postkarten postcards 
Postkasten MAILBOX 
Potpourri medly 
Potpourries medlies 
Pracht magnificence 
Praemie bonus 
Praemien premiums 
Praesentation presentation 
Praesident President 
Praezedenzfall precedent 
Praezision precision 
Praktiken practices 
Pranger pillory 
Praxis practice 
Prediger PREACHER 
Predigt sermon 
Predigten sermons 
Preis fee 
Preise PRICES 
Preisgestaltung pricing 
Preisliste price-list 
Preisrichter jury 
Preisselbeeren CRANBERRIES 
Presse press 
Priester priest 
Primel primrose 
Primeln primroses 
Prinz prince 
Prinzip principle 
Prisma prism 
Pritsche slapstick 
Pritschen slapsticks 
Probe probe 
Problem problem 
Probleme problems 
Produkt product 
Produkte products 
Produktion production 
Produktivitaet productivity 
Profil profile 
Programm program 
Programme programs 
Programmierer Programmer 
Projektor Projector 
Prolog prolog 
Promenade boardwalk 
Prophet seer 
Propheten seers 
Prophezeiung augury 
Prophezeiungen auguries 
Prospekt prospectus 
Protokoll protocol 
Protokolle protocols 
Proviant provisions 
Prozedur procedure 
Prozeduren procedures 
Prozent percent 
Prozentrechnen Percentages 
Prozess litigation 
Prozesse litigations 
Prozessor processor 
Prozessoren processors 
PrtSc printscreen 
Pruefstein touchstone 
Pruefsteine touchstones 
Pruefung examination 
Pruefungen examinations 
Publikationen Publications 
Publikum audience 
Pudel poodle 
Puder powder 
Puenktchen jot 
Puenktlichkeit punctuality 
Puff buffet 
Puffer buffer 
Pufferinhalt queue 
Pult console 
Pulver powder 
Pumpe pump 
Punkt dot 
Punkte points 
Pupille pupil 
Puppe doll 
Puppen dollies 
Putzfrau charwoman 
Putzfrauen charwomen 
Pyramide pyramid 
Pyramiden PYRAMIDS 
Quacksalberei quackery 
Quacksalbereien quackeries 
Quadrant quadrant 
Quadrat square 
Qual agony 
Qualen agonies 
Qualitaet quality 
Qualitaeten qualities 
Qualm fume 
Quarantaene quarantine 
Quarkspeise junket 
Quartett quartet 
Quartette quartets 
Quartiermeister quartermaster 
Quast tassel 
Quaste tassels 
Quatsch nonsense 
Quecksilber mercury 
Quellen sources 
Quellgebiete headwaters 
Querschnitt cross-section 
Querstrasse cross-road 
Querstrich slash 
Quitte quince 
Quitten quinces 
Quittung quittance 
Quittungen quittances 
Quiz quiz 
Quote quote 
Quotient quotient 
READONLY readonly 
Rabatt rebate 
Rabatte rebates 
Rabbiner rabbis 
Rabe raven 
Raben ravens 
Rache revenge 
Racker varmint 
Rad wheel 
Radar radar 
Radiergummi eraser 
Radio Radio 
Radius radius 
Raedelsfuehrer ringleader 
Raeder wheels 
Raender boarders 
Raetsel enigma 
Raeuber robber 
Raeuberei robbery 
Raeubereien robberies 
Raeumungen removals 
Rahmen frame 
Rakete ROCKET 
Raketen rockets 
Ram ram 
Ramdisk ramdisk 
Ramdisks ramdisks 
Rampe ramp 
Rampen ramps 
Rampenlicht footlights 
Rand boarder 
Randalierer rioter 
Range romp 
Rangen romps 
Ranke tendril 
Ranken tendrils 
Raritaeten curiosities 
Rasen lawn 
Rasereien furies 
Rasierapparat razor 
Rasierapparate razors 
Rasieren shave 
Rasse race 
Raster graticule 
Rasterung grating 
Rasuren shavings 
Rat advice 
Raten rates 
Ratgeber adviser 
Rathaeuser guildhalls 
Rathaus guildhall 
Ratschlag advice 
Ratte rat 
Ratten rats 
Raub rape 
Rauch reek 
Raucher smoker 
Rauheit roughness 
Rauhheit acerbity 
Raum room 
Raupe caterpillar 
Raupen caterpillars 
Rausch intoxication 
Rauschgift drug 
Rauten lozenges 
Rautenzeichen hash 
Rautezeichen lozenge 
Reaktion reaction 
Reaktionen reactions 
Realisierung implementation 
Realismus realism 
Realitaeten realities 
Rebell rebel 
Rebellen rebels 
Rechner Calculator 
Rechnung account 
Rechnungen bills 
Rechte Rights 
Rechteck rectangle 
Rechtecke rectangles 
Rechtfertigung vindication 
Rechtfertigungen justifications 
Rechtmaessigkeit legitimacy 
Rechtsanwaelte barristers 
Rechtsanwalt barrister 
Rechtsprechung jurisdiction 
Rede monologue 
Redegewandtheit volubility 
Redegewandtheiten volubilities 
Redekuenste elocutions 
Redekunst oratory 
Reden monologues 
Redlichkeit probity 
Redner orator 
Referenzen References 
Reflektion reflection 
Reflektor reflector 
Reflexionen reflections 
Reform reform 
Reformen reformations 
Regal shelf 
Regel rule 
Regelmaessigkeit regularity 
Regelmaessigkeiten regularities 
Regeln precepts 
Regen rain 
Regenbogen rainbow 
Regenerator regenerator 
Regenmaentel mackintoshs 
Regenmantel mackintosh 
Regennmaentel raincoats 
Regenschirm umbrella 
Regenschirme umbrellas 
Regierung Government 
Register registers 
Registrationen registrations 
Registrierung registering 
Regler governor 
Regulierung regulation 
Regulierungen Regulations 
Reibung friction 
Reich empire 
Reichtuemer opulences 
Reichtum opulence 
Reif hoarfrost 
Reife maturity 
Reifen hoop 
Reihe rank 
Reihen rows 
Reiher heron 
Reim rhyme 
Reime rimes 
Reis RICE 
Reise journey 
Reisefuehrer guide 
Reisen voyages 
Reisende travelers 
Reisender traveler 
Reisetasche valise 
Reisetaschen valises 
Reisser thriller 
Reisszwecke thumbtack 
Reiszwecke thumbtacks 
Reiter horseman 
Reiterei cavalry 
Reitereien cavalries 
Reitstiefel jackboots 
Reiz charm 
Rekenschirm umbrella 
Reklame advertisement 
Reklameschoenheit glamour-girl 
Religion religion 
Religon religion 
Renn- racing 
Reorganisation reorganization 
Reparatur repair 
Reperaturwerkstaette repair-shop 
Repraesentation representation 
Repressalie reprisal 
Repressalien reprisals 
Reproduktion reproduction 
Reproduktionen reproductions 
Reptil reptil 
Reptile reptils 
Reservierung reservation 
Reservierungen reservations 
Resignation resignation 
Resonanz resonance 
Resonanzen resonances 
Rest remainder 
Restaurant restaurant 
Restaurierung restoration 
Reste leavings 
Resultat result 
Retter savers 
Rettich radish 
Rettiche radishs 
Rettung rescue 
Rettungen salvations 
Rettungsboot lifeboat 
Rettungsboote lifeboats 
Rettungsgurt lifebelt 
Reue penitence 
Reuse weir 
Reusen weirs 
Revision revision 
Revolution revolution 
Revolver gat 
Rezept recipe 
Rezepte recipes 
Rhabarber RHUBARB 
Rhetorik elocution 
Rhythmen rhythms 
Rhythmus rhythm 
Richter judge 
Richtigkeit trueness 
Richtung direction 
Richtungen directions 
Riegel bolt 
Riemen strap 
Riese giant 
Riesenhaftigkeit hugeness 
Riff reef 
Riffe reefs 
Rinde bark 
Rinden rinds 
Rindfleisch beef 
Ring ring 
Ringbuch loose-leaf 
Ringkaempfe wrestlings 
Ringkampf wrestling 
Rinne groove 
Rinnsal runlet 
Rinnsale runlets 
Rippe rib 
Rippen RIBS 
Risiken ventures 
Risiko risk 
Riss crack 
Risse crannies 
Ritt ride 
Ritterlich knightlily 
Rittersporn larkspur 
Ritz cranny 
Ritzel pinion 
Rivale rival 
Rivalen rivals 
Robben seals 
Roboter ROBOT 
Robustheit robustness 
Rock skirt 
Roecke skirts 
Roehre tube 
Roehren tubes 
Roentgenbild radiograph 
Roentgenbilder radiographs 
Roete redness 
Roggen RYE 
Rohputz roughcast 
Rollbahn runway 
Rolle role 
Rollen roles 
Roller scooter 
Rollschuh roller-skate 
Rolltreppe escalator 
Rose rose 
Rosen roses 
Rosine raisin 
Rosinen RAISINS 
Rosinenbroetchen BUNS 
Rost gridiron 
Rotation rotation 
Rotkehlchen redbreast 
Rotkopf redhead 
Routine routine 
Routinen routines 
Rubrik rubric 
Ruck flip 
Ruder oar 
Ruderer oarsman 
Ruebe TURNIP 
Rueben BEETS 
Rueckblick retrospect 
Ruecken back 
Rueckfahrkarte return-ticket 
Rueckfall relapse 
Rueckfuehrung reduction 
Rueckgang regression 
Rueckgrat backbone 
Rueckgriff fallback 
Rueckhand backhand 
Rueckkaeufe redemptions 
Rueckkauf redemption 
Rueckkehr returning 
Rueckkopplung feedback 
Rueckplatte backplate 
Rueckschritt regress 
Rueckschritte regresses 
Rueckseite backside 
Rueckseiten backsides 
Ruecksicht regard 
Ruecktritt recession 
Ruecktritte recessions 
Rueckweisung rejection 
Rueckzahlung repayment 
Rueckzahlungen repayments 
Rueckzuege withdrawals 
Rueckzug retreat 
Ruesche quilling 
Rueschen quillings 
Ruf fame 
Rufzeichen callsign 
Ruhe quiescence 
Ruhm fame 
Ruin bane 
Runddichtung O-seal 
Runde round 
Rundfunk broadcast 
Runzel wrinkle 
Russland Russia 
Rute rod 
Ruten rods 
SCHWARZ black 
Saal hall 
Sabdale sandal 
Sache matter 
Sachen things 
Sack sack 
Sadismus sadism 
Saebel sabre 
Saecke sacks 
Saefte juices 
Saege saw 
Saegespaene sawdust 
Saegewerk sawmill 
Saele halls 
Saemlinge seedlings 
Saenger singer 
Saerge coffins 
Saeugetier mammal 
Saeugetiere mammals 
Saeugling nurseling 
Saeume hems 
Saeure acid 
Saeuren acids 
Safran saffron 
Saft juice 
Sahne CREAM 
Sahnebonbon toffee 
Sahnebonbons toffees 
Salat SALAD 
Salate SALADS 
Salbe ointment 
Salben oinments 
Salbung unction 
Salbungen unctions 
Salpeter nitre 
Salz salt 
Samen sperm 
Sammelrohr manifold 
Sammler collector 
Sammlung assemblage 
Sammlungen assemblages 
Samstag Saturday 
Samstage saturdays 
Samt velvet 
Sanatorien sanitariums 
Sanatorium sanitarium 
Sand sand 
Sandalen sandals 
Sandaletten sneakers 
Sanduhr HOURGLAS 
Sanftmut meekness 
Saphir sapphire 
Saphire sapphires 
Sardelle ANCHOVY 
Sardine sardine 
Sardinen sardines 
Sarg COFFIN 
Satellit satellite 
Satelliten satellites 
Satin sateen 
Satire satire 
Satiren satires 
Satiriker satirist 
Sattel saddle 
Satz phrase 
Satzung statute 
Satzungen statutes 
Sauberkeit cleanliness 
Scale scale 
Schablone stencil 
Schablonen stencils 
Schach CHESS 
Schacht duct 
Schachtel box 
Schaden damage 
Schaedel skull 
Schaeden damages 
Schaefer shepherd 
Schaendlichkeit turpitude 
Schaendlichkeiten turpitudes 
Schaerfe keenness 
Schaerfen poignancies 
Schaerfer sharpener 
Schaetzung appraisal 
Schaetzungen ESTIMATIONS 
Schaetzwerte valuations 
Schaeume scums 
Schaf sheep 
Schafe sheep 
Schafsfell sheepskin 
Schafsfelle sheepskins 
Schaft shank 
Schakal jackal 
Schakale jackals 
Schal scarf 
Schale bowl 
Schalen bowls 
Schall- sonic 
Schalldaempfer silencer 
Schallplatte record 
Schals scarfs 
Schalter switch 
Schaltjahr leap-year 
Schaltkreis circuit 
Schande disgrace 
Schar shoal 
Scharfsinn astuteness 
Schatten SHADE 
Schatz treasure 
Schatzkammer treasury 
Schatzkammern treasuries 
Schauer shower 
Schauern showers 
Schaufel shovel 
Schaufeln shovels 
Schaum foam 
Schauplaetze scenes 
Schauplatz stage 
Schauspiel spectacle 
Schauspiele spectacles 
Schauspieler actor 
Schauspielerin actress 
Schauspielhaeuser playhouses 
Schauspielhaus playhouse 
Scheck cheque 
Schecks cheques 
Scheibe pane 
Scheiben panes 
Scheide scabbard 
Scheiden scabbards 
Scheidung divorce 
Scheidungen divorces 
Schein shine 
Schein- dummy 
Scheinwerferlicht headlight 
Scheinwerferlichter headlights 
Schellfisch HADDOCK 
Schelte wigging 
Schema scheme 
Schemel stool 
Schemen schemes 
Schenkel shank 
Schere scissors 
Scherz joke 
Scherze pleasantries 
Scheune barn 
Schicht stratum 
